Log file: 2018-11-20-13-20
1542754890.14: Expt started
8.79764556885e-05: Initialization of the stepper motor
0.752269029617: End of initialization of the stepper motor
0.752291917801: Change gap
8.23056387901: Gap changed
8.23128795624: Rollers started
8.2313978672: Conveyors started
18.2860050201: Conveyors stopped
18.2988228798: Rollers stopped
18.2991399765: Change gap
20.5909698009: Gap changed
20.5913598537: Rollers started
20.5914359093: Conveyors started
31.657501936: Conveyors stopped
31.6766428947: Rollers stopped
31.6767790318: Change gap
33.9753818512: Gap changed
33.9757628441: Rollers started
33.9758758545: Conveyors started
44.0696058273: Conveyors stopped
44.0896809101: Rollers stopped
44.0899908543: Change gap
46.3837559223: Gap changed
46.3841369152: Rollers started
46.3842070103: Conveyors started
56.9931499958: Conveyors stopped
57.0078890324: Rollers stopped
57.0080468655: Change gap
59.3041000366: Gap changed
59.3044848442: Rollers started
59.3046050072: Conveyors started
69.8687009811: Conveyors stopped
69.8854329586: Rollers stopped
69.8855960369: Change gap
72.1844408512: Gap changed
72.1848289967: Rollers started
72.1848978996: Conveyors started
82.7762429714: Conveyors stopped
82.7964458466: Rollers stopped
82.796587944: Change gap
85.0888078213: Gap changed
85.0892100334: Rollers started
85.0892820358: Conveyors started
95.1722459793: Conveyors stopped
95.1904168129: Rollers stopped
95.1906509399: Change gap
97.4891278744: Gap changed
97.4895570278: Rollers started
97.4896399975: Conveyors started
107.584033012: Conveyors stopped
107.597019911: Rollers stopped
107.597564936: Change gap
109.889477968: Gap changed
109.889851809: Rollers started
109.88992691: Conveyors started
119.963815928: Conveyors stopped
119.982105017: Rollers stopped
119.982240915: Change gap
119.982995987: Gap changed
119.983527899: Rollers started
119.983738899: Conveyors started
130.072485924: Conveyors stopped
130.089926958: Rollers stopped
